,player_id,name_common,year_id,age,team_id,G,Min,MPG,FT%
1700,holliro01,Rondae Hollis-Jefferson,2018,23,BRK,68,1920,28.2,78.8
1701,leverca01,Caris LeVert,2018,23,BRK,71,1864,26.3,71.1
1702,allenja01,Jarrett Allen,2018,19,BRK,72,1441,20.0,77.6
1703,acyqu01,Quincy Acy,2018,27,BRK,70,1359,19.4,81.7
1704,russeda01,D'Angelo Russell,2018,21,BRK,48,1234,25.7,74.0
1705,zellety01,Tyler Zeller,2018,28,BRK,42,703,16.7,66.7
1706,stausni01,Nik Stauskas,2018,24,BRK,35,478,13.7,70.4
1707,cunnida01,Dante Cunningham,2018,30,BRK,22,447,20.3,68.8
1708,booketr01,Trevor Booker,2018,30,BRK,18,395,21.9,55.8
1709,mozgoti01,Timofey Mozgov,2018,31,BRK,31,359,11.6,76.7
1710,okafoja01,Jahlil Okafor,2018,22,BRK,26,328,12.6,76.0
1711,kilpase01,Sean Kilpatrick,2018,28,BRK,16,183,11.4,94.7
1712,whiteis01,Isaiah Whitehead,2018,22,BRK,16,180,11.3,68.4
1713,doylemi01,Milton Doyle,2018,24,BRK,10,125,12.5,50.0
1714,webbja01,James Webb III,2018,24,BRK,10,120,12.0,0.0
1715,wileyja01,Jacob Wiley,2018,23,BRK,5,33,6.6,50.0
1716,linje01,Jeremy Lin,2018,29,BRK,1,25,25.0,100.0
1717,vaughra01,Rashad Vaughn,2018,21,BRK,1,4,4.0,0.0
1718,walkeke02,Kemba Walker,2018,27,CHA,80,2736,34.2,86.4
1719,howardw01,Dwight Howard,2018,32,CHA,81,2463,30.4,57.4
1720,willima02,Marvin Williams,2018,31,CHA,78,2006,25.7,82.9
1721,batumni01,Nicolas Batum,2018,29,CHA,64,1981,31.0,83.1
1722,lambje01,Jeremy Lamb,2018,25,CHA,80,1967,24.6,86.1
1723,kiddgmi01,Michael Kidd-Gilchrist,2018,24,CHA,74,1850,25.0,68.4
1724,kaminfr01,Frank Kaminsky,2018,24,CHA,79,1835,23.2,79.9
