artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Katie Melua,The Closest Thing to Crazy,252466,2003,1,0.562,0.219,4,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831,"pop, easy listening, jazz",False,0
Usher,My Boo,223440,2004,1,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,"hip hop, pop, R&B",False,0
Lloyd,Southside,277840,2004,1,0.688,0.404,9,-9.481,0,0.0818,0.377,0.0,0.0813,0.448,75.007,"hip hop, pop, R&B",False,0
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,1,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic,False,0
The Streets,Fit but You Know It,254266,2004,1,0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302,"hip hop, Dance/Electronic",True,1
JUVENILE,Slow Motion,248200,2003,1,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872,"hip hop, pop",True,1
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,1,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,"hip hop, pop",True,1
Girls Aloud,Love Machine,205360,2004,1,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic",False,0
Jessica Simpson,With You,191826,2003,1,0.553,0.756,0,-4.583,1,0.108,0.0923,0.0,0.215,0.605,94.487,"pop, R&B",False,0
Eminem,Like Toy Soldiers,296880,2004,0,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop,True,1
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,1,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,pop,False,0
Ashlee Simpson,Pieces Of Me,217440,2004,1,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001,pop,False,0
Will Young,Leave Right Now,214733,2003,1,0.641,0.445,6,-8.674,1,0.0368,0.145,0.0,0.108,0.383,81.931,pop,False,0
Alicia Keys,You Don't Know My Name,366733,2003,1,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,"pop, R&B",False,0
Mariah Carey,We Belong Together,201400,2005,1,0.84,0.476,0,-7.918,1,0.0629,0.0264,0.0,0.0865,0.767,139.987,"pop, R&B",False,0
Mario,Let Me Love You,256733,2004,1,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,"pop, R&B",False,0
Kanye West,Gold Digger,207626,2005,1,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,hip hop,True,1
